#########################
# B -> J/psi K Mag Down
#########################
### baseline
PrChecker.Downs...   INFO                noVelo+UT+T_fromB :    6034 from     8880 [ 68.0 %]      7 clones [ 0.1 %], purity: 97.79 %, hitEff: 98.75 %
PrChecker.Downs...   INFO           noVelo+UT+T_fromB>5GeV :    4426 from     5748 [ 77.0 %]      7 clones [ 0.2 %], purity: 97.82 %, hitEff: 98.95 %
PrChecker.Downs...   INFO                     UT+T_SfromDB :    7696 from     9758 [ 78.9 %]      9 clones [ 0.1 %], purity: 97.77 %, hitEff: 98.87 %
PrChecker.Downs...   INFO                UT+T_SfromDB>5GeV :    5769 from     6968 [ 82.8 %]      8 clones [ 0.1 %], purity: 97.83 %, hitEff: 98.99 %
PrChecker.Downs...   INFO              noVelo+UT+T_SfromDB :    5241 from     6783 [ 77.3 %]      4 clones [ 0.1 %], purity: 97.79 %, hitEff: 98.84 %
PrChecker.Downs...   INFO         noVelo+UT+T_SfromDB>5GeV :    4047 from     4979 [ 81.3 %]      4 clones [ 0.1 %], purity: 97.80 %, hitEff: 98.97 %

PrChecker.BestDown   INFO **** BestDown                        91041 tracks including         37285 ghosts [41.0 %], Event average  35.7 % ****
PrChecker.BestDown   INFO                             UT+T :   38329 from   343868 [ 11.1 %]     35 clones [ 0.1 %], purity: 97.49 %, hitEff: 93.90 %
PrChecker.BestDown   INFO                        UT+T>5GeV :   20498 from   209864 [  9.8 %]     32 clones [ 0.2 %], purity: 97.59 %, hitEff: 95.06 %
PrChecker.BestDown   INFO                     UT+T_strange :   15523 from    36232 [ 42.8 %]     14 clones [ 0.1 %], purity: 97.64 %, hitEff: 94.80 %
PrChecker.BestDown   INFO                UT+T_strange>5GeV :    9991 from    20590 [ 48.5 %]     12 clones [ 0.1 %], purity: 97.69 %, hitEff: 95.58 %
PrChecker.BestDown   INFO              noVelo+UT+T_strange :   14144 from    21195 [ 66.7 %]     14 clones [ 0.1 %], purity: 97.66 %, hitEff: 94.86 %
PrChecker.BestDown   INFO         noVelo+UT+T_strange>5GeV :    9391 from    12783 [ 73.5 %]     12 clones [ 0.1 %], purity: 97.70 %, hitEff: 95.60 %
PrChecker.BestDown   INFO                       UT+T_fromB :    6725 from    40655 [ 16.5 %]      6 clones [ 0.1 %], purity: 97.80 %, hitEff: 95.34 %
PrChecker.BestDown   INFO                  UT+T_fromB>5GeV :    4825 from    31284 [ 15.4 %]      6 clones [ 0.1 %], purity: 97.83 %, hitEff: 96.09 %
PrChecker.BestDown   INFO                noVelo+UT+T_fromB :    5798 from     8880 [ 65.3 %]      5 clones [ 0.1 %], purity: 97.84 %, hitEff: 95.58 %
PrChecker.BestDown   INFO           noVelo+UT+T_fromB>5GeV :    4278 from     5748 [ 74.4 %]      5 clones [ 0.1 %], purity: 97.85 %, hitEff: 96.21 %
PrChecker.BestDown   INFO                     UT+T_SfromDB :    5358 from     9758 [ 54.9 %]      3 clones [ 0.1 %], purity: 97.82 %, hitEff: 95.70 %
PrChecker.BestDown   INFO                UT+T_SfromDB>5GeV :    4085 from     6968 [ 58.6 %]      3 clones [ 0.1 %], purity: 97.84 %, hitEff: 96.25 %
PrChecker.BestDown   INFO              noVelo+UT+T_SfromDB :    5097 from     6783 [ 75.1 %]      3 clones [ 0.1 %], purity: 97.83 %, hitEff: 95.76 %
PrChecker.BestDown   INFO         noVelo+UT+T_SfromDB>5GeV :    3941 from     4979 [ 79.2 %]      3 clones [ 0.1 %], purity: 97.84 %, hitEff: 96.24 %

## 0.07
PrChecker.Downs...   INFO **** Downstream                     413180 tracks including        124238 ghosts [30.1 %], Event average  24.3 % ****
PrChecker.Downs...   INFO                             UT+T :  256544 from   343868 [ 74.6 %]    494 clones [ 0.2 %], purity: 97.53 %, hitEff: 98.85 %
PrChecker.Downs...   INFO                        UT+T>5GeV :  170160 from   209864 [ 81.1 %]    455 clones [ 0.3 %], purity: 97.58 %, hitEff: 98.94 %
PrChecker.Downs...   INFO                     UT+T_strange :   26309 from    36232 [ 72.6 %]     33 clones [ 0.1 %], purity: 97.58 %, hitEff: 98.81 %
PrChecker.Downs...   INFO                UT+T_strange>5GeV :   16205 from    20590 [ 78.7 %]     28 clones [ 0.2 %], purity: 97.61 %, hitEff: 98.88 %
PrChecker.Downs...   INFO              noVelo+UT+T_strange :   14816 from    21195 [ 69.9 %]     19 clones [ 0.1 %], purity: 97.60 %, hitEff: 98.70 %
PrChecker.Downs...   INFO         noVelo+UT+T_strange>5GeV :    9812 from    12783 [ 76.8 %]     16 clones [ 0.2 %], purity: 97.65 %, hitEff: 98.83 %
PrChecker.Downs...   INFO                       UT+T_fromB :   32848 from    40655 [ 80.8 %]     52 clones [ 0.2 %], purity: 97.82 %, hitEff: 99.05 %
PrChecker.Downs...   INFO                  UT+T_fromB>5GeV :   26488 from    31284 [ 84.7 %]     50 clones [ 0.2 %], purity: 97.84 %, hitEff: 99.13 %
PrChecker.Downs...   INFO                noVelo+UT+T_fromB :    6024 from     8880 [ 67.8 %]      7 clones [ 0.1 %], purity: 97.80 %, hitEff: 98.74 %
PrChecker.Downs...   INFO           noVelo+UT+T_fromB>5GeV :    4423 from     5748 [ 76.9 %]      7 clones [ 0.2 %], purity: 97.82 %, hitEff: 98.95 %
PrChecker.Downs...   INFO                     UT+T_SfromDB :    7684 from     9758 [ 78.7 %]      9 clones [ 0.1 %], purity: 97.78 %, hitEff: 98.87 %
PrChecker.Downs...   INFO                UT+T_SfromDB>5GeV :    5764 from     6968 [ 82.7 %]      8 clones [ 0.1 %], purity: 97.83 %, hitEff: 98.99 %
